"Statistic Label","Year","County","UNIT","VALUE"
"Persons Killed","2016","Co. Dublin","Number","21"
"Persons Killed","2016","Co. Kildare","Number","7"
"Persons Killed","2016","Co. Kilkenny","Number","6"
"Persons Killed","2016","Co. Laois","Number","3"
"Persons Killed","2016","Co. Longford","Number","3"
"Persons Killed","2016","Co. Louth","Number","7"
"Persons Killed","2016","Co. Meath","Number","12"
"Persons Killed","2016","Co. Offaly","Number","4"
"Persons Killed","2016","Co. Westmeath","Number","4"
"Persons Killed","2016","Co. Wexford","Number","4"
"Persons Killed","2016","Co. Wicklow","Number","2"
"Persons Killed","2016","Co. Clare","Number","4"
"Persons Killed","2016","Co. Cork","Number","21"
"Persons Killed","2016","Co. Kerry","Number","7"
"Persons Killed","2016","Co. Limerick","Number","14"
"Persons Killed","2016","Co. Tipperary","Number","13"
"Persons Killed","2016","Co. Waterford","Number","8"
"Persons Killed","2016","Co. Galway","Number","10"
"Persons Killed","2016","Co. Leitrim","Number","1"
"Persons Killed","2016","Co. Mayo","Number","4"
"Persons Killed","2016","Co. Roscommon","Number","7"
"Persons Killed","2016","Co. Sligo","Number","2"
"Persons Killed","2016","Co. Cavan","Number","3"
"Persons Killed","2016","Co. Donegal","Number","10"
"Persons Killed","2016","Co. Monaghan","Number","5"
"Persons Killed","2017","Co. Carlow","Number","3"
"Persons Killed","2017","Co. Dublin","Number","24"
"Persons Killed","2017","Co. Kildare","Number","6"
"Persons Killed","2017","Co. Kilkenny","Number","3"
"Persons Killed","2017","Co. Laois","Number","2"
"Persons Killed","2017","Co. Longford","Number","2"
"Persons Killed","2017","Co. Louth","Number","10"
"Persons Killed","2017","Co. Meath","Number","8"
"Persons Killed","2017","Co. Offaly","Number","2"
"Persons Killed","2017","Co. Westmeath","Number","1"
"Persons Killed","2017","Co. Wexford","Number","7"
"Persons Killed","2017","Co. Wicklow","Number","2"
"Persons Killed","2017","Co. Clare","Number","4"
"Persons Killed","2017","Co. Cork","Number","14"
"Persons Killed","2017","Co. Kerry","Number","8"
"Persons Killed","2017","Co. Limerick","Number","7"
"Persons Killed","2017","Co. Tipperary","Number","7"
"Persons Killed","2017","Co. Waterford","Number","4"
"Persons Killed","2017","Co. Galway","Number","5"
"Persons Killed","2017","Co. Leitrim","Number","1"
"Persons Killed","2017","Co. Mayo","Number","13"
"Persons Killed","2017","Co. Roscommon","Number","4"
"Persons Killed","2017","Co. Sligo","Number","1"
"Persons Killed","2017","Co. Cavan","Number","2"
"Persons Killed","2017","Co. Donegal","Number","6"
"Persons Killed","2017","Co. Monaghan","Number","8"
"Persons Killed","2018","Co. Carlow","Number","2"
"Persons Killed","2018","Co. Dublin","Number","14"
"Persons Killed","2018","Co. Kildare","Number","4"
"Persons Killed","2018","Co. Kilkenny","Number","2"
"Persons Killed","2018","Co. Laois","Number","4"
"Persons Killed","2018","Co. Longford","Number","3"
"Persons Killed","2018","Co. Louth","Number","6"
"Persons Killed","2018","Co. Meath","Number","7"
"Persons Killed","2018","Co. Offaly","Number","2"
"Persons Killed","2018","Co. Westmeath","Number","5"
"Persons Killed","2018","Co. Wexford","Number","2"
"Persons Killed","2018","Co. Wicklow","Number","5"
"Persons Killed","2018","Co. Clare","Number","6"
"Persons Killed","2018","Co. Cork","Number","14"
"Persons Killed","2018","Co. Kerry","Number","3"
"Persons Killed","2018","Co. Limerick","Number","9"
"Persons Killed","2018","Co. Tipperary","Number","10"
"Persons Killed","2018","Co. Waterford","Number","3"
"Persons Killed","2018","Co. Galway","Number","7"
"Persons Killed","2018","Co. Leitrim","Number","1"
"Persons Killed","2018","Co. Mayo","Number","9"
"Persons Killed","2018","Co. Roscommon","Number","2"
"Persons Killed","2018","Co. Sligo","Number","1"
"Persons Killed","2018","Co. Cavan","Number","2"
"Persons Killed","2018","Co. Donegal","Number","10"
"Persons Killed","2018","Co. Monaghan","Number","2"
"Persons Killed","2019","Co. Carlow","Number","2"
"Persons Killed","2019","Co. Dublin","Number","19"
"Persons Killed","2019","Co. Kildare","Number","4"
"Persons Killed","2019","Co. Kilkenny","Number","6"
"Persons Killed","2019","Co. Laois","Number","1"
"Persons Killed","2019","Co. Longford","Number","1"
"Persons Killed","2019","Co. Louth","Number","4"
"Persons Killed","2019","Co. Meath","Number","7"
"Persons Killed","2019","Co. Offaly","Number","5"
"Persons Killed","2019","Co. Westmeath","Number","3"
"Persons Killed","2019","Co. Wexford","Number","7"
"Persons Killed","2019","Co. Wicklow","Number","3"
"Persons Killed","2019","Co. Clare","Number","5"
"Persons Killed","2019","Co. Cork","Number","14"
"Persons Killed","2019","Co. Kerry","Number","6"
"Persons Killed","2019","Co. Limerick","Number","9"
"Persons Killed","2019","Co. Tipperary","Number","13"
"Persons Killed","2019","Co. Waterford","Number","3"
"Persons Killed","2019","Co. Galway","Number","7"
"Persons Killed","2019","Co. Leitrim","Number","1"
"Persons Killed","2019","Co. Mayo","Number","3"
"Persons Killed","2019","Co. Roscommon","Number","3"
"Persons Killed","2019","Co. Sligo","Number","1"
"Persons Killed","2019","Co. Cavan","Number","3"
"Persons Killed","2019","Co. Donegal","Number","8"
"Persons Killed","2019","Co. Monaghan","Number","2"
"Persons Killed","2020","Co. Carlow","Number","3"
"Persons Killed","2020","Co. Dublin","Number","20"
"Persons Killed","2020","Co. Kildare","Number","4"
"Persons Killed","2020","Co. Kilkenny","Number","5"
"Persons Killed","2020","Co. Laois","Number","0"
"Persons Killed","2020","Co. Longford","Number","0"
"Persons Killed","2020","Co. Louth","Number","9"
"Persons Killed","2020","Co. Meath","Number","8"
"Persons Killed","2020","Co. Offaly","Number","4"
"Persons Killed","2020","Co. Westmeath","Number","4"
"Persons Killed","2020","Co. Wexford","Number","7"
"Persons Killed","2020","Co. Wicklow","Number","2"
"Persons Killed","2020","Co. Clare","Number","3"
"Persons Killed","2020","Co. Cork","Number","22"
"Persons Killed","2020","Co. Kerry","Number","9"
"Persons Killed","2020","Co. Limerick","Number","5"
"Persons Killed","2020","Co. Tipperary","Number","7"
"Persons Killed","2020","Co. Waterford","Number","2"
"Persons Killed","2020","Co. Galway","Number","5"
"Persons Killed","2020","Co. Leitrim","Number","1"
"Persons Killed","2020","Co. Mayo","Number","5"
"Persons Killed","2020","Co. Roscommon","Number","5"
"Persons Killed","2020","Co. Sligo","Number","2"
"Persons Killed","2020","Co. Cavan","Number","2"
"Persons Killed","2020","Co. Donegal","Number","10"
"Persons Killed","2020","Co. Monaghan","Number","3"
"Persons Killed","2021","Co. Carlow","Number","0"
"Persons Killed","2021","Co. Dublin","Number","21"
"Persons Killed","2021","Co. Kildare","Number","7"
"Persons Killed","2021","Co. Kilkenny","Number","2"
"Persons Killed","2021","Co. Laois","Number","2"
